ChatID: 1
2025-06-01 12:00:00 | Z3R0 | 192.168.0.3 | Fuck me, dude.
2025-06-02 02:56:00 | K1llMePlz | 192.168.0.2 | Rotate fast.
2025-06-02 03:02:00 | GGnore | 192.168.0.9 | Holy shit that was intense.
2025-06-02 03:18:00 | ToxicTommy | 192.168.0.5 | I need backup.
2025-06-02 03:28:00 | NoScopeNancy | 192.168.0.8 | I need backup.
2025-06-02 03:44:00 | NovaCat | 192.168.0.4 | Shit, that was close.
2025-06-02 04:01:00 | ToxicTommy | 192.168.0.5 | Rotate fast.
2025-06-02 04:21:00 | GGnore | 192.168.0.9 | Shit team.
2025-06-02 16:28:00 | NovaCat | 192.168.0.4 | Save weapons.
2025-06-02 16:46:00 | ToxicTommy | 192.168.0.5 | I need backup.
2025-06-02 16:52:00 | ToxicTommy | 192.168.0.5 | I'm lagging.
2025-06-02 17:00:00 | GGnore | 192.168.0.9 | Fuck me, dude.
2025-06-02 17:20:00 | K1llMePlz | 192.168.0.2 | Fuck me, dude.
2025-06-02 17:38:00 | GGnore | 192.168.0.9 | Fuck me, dude.
2025-06-02 17:58:00 | ToxicTommy | 192.168.0.5 | Sorry, my bad.
2025-06-02 18:03:00 | NovaCat | 192.168.0.4 | Don't peek mid.
2025-06-02 18:19:00 | NovaCat | 192.168.0.4 | Well played.
2025-06-02 18:34:00 | GGnore | 192.168.0.9 | This game is bullshit.
2025-06-02 18:42:00 | NoScopeNancy | 192.168.0.8 | Nice clutch!
2025-06-02 18:52:00 | NovaCat | 192.168.0.4 | Plant the bomb!
2025-06-02 19:06:00 | GGnore | 192.168.0.9 | Sorry, my bad.
2025-06-02 19:20:00 | ToxicTommy | 192.168.0.5 | I'm lagging.
2025-06-02 19:26:00 | GGnore | 192.168.0.9 | Use utility.
2025-06-02 19:38:00 | NovaCat | 192.168.0.4 | Who has bomb?
2025-06-02 19:44:00 | K1llMePlz | 192.168.0.2 | Damn it, guys!
2025-06-02 20:02:00 | K1llMePlz | 192.168.0.2 | Damn it, guys!
2025-06-02 20:13:00 | NovaCat | 192.168.0.4 | Don't peek mid.
2025-06-02 20:18:00 | K1llMePlz | 192.168.0.2 | Let's go A.
2025-06-02 20:30:00 | NovaCat | 192.168.0.4 | I'm lagging.
2025-06-02 20:47:00 | ToxicTommy | 192.168.0.5 | Nice clutch!
2025-06-02 20:58:00 | ToxicTommy | 192.168.0.5 | Anyone has drop?
2025-06-02 21:06:00 | K1llMePlz | 192.168.0.2 | Sorry, my bad.
2025-06-02 21:23:00 | K1llMePlz | 192.168.0.2 | Rotate fast.
2025-06-02 21:33:00 | ToxicTommy | 192.168.0.5 | This team is actually good.
2025-06-02 21:40:00 | ToxicTommy | 192.168.0.5 | Let's go A.
2025-06-02 21:55:00 | GGnore | 192.168.0.9 | I'm lagging.
2025-06-02 22:00:00 | K1llMePlz | 192.168.0.2 | Don't peek mid.
2025-06-02 22:17:00 | NoScopeNancy | 192.168.0.8 | Don't peek mid.
2025-06-02 22:22:00 | ToxicTommy | 192.168.0.5 | Rotate fast.
2025-06-02 22:31:00 | K1llMePlz | 192.168.0.2 | I need backup.
2025-06-02 22:41:00 | K1llMePlz | 192.168.0.2 | Plant the bomb!
2025-06-02 22:52:00 | NoScopeNancy | 192.168.0.8 | Nice clutch!
2025-06-02 22:57:00 | NoScopeNancy | 192.168.0.8 | Save weapons.
2025-06-02 23:02:00 | K1llMePlz | 192.168.0.2 | Plant the bomb!
2025-06-02 23:21:00 | NovaCat | 192.168.0.4 | Don't peek mid.
2025-06-02 23:27:00 | ToxicTommy | 192.168.0.5 | Save weapons.
2025-06-02 23:34:00 | ToxicTommy | 192.168.0.5 | Nice clutch!
2025-06-02 23:40:00 | K1llMePlz | 192.168.0.2 | Don't peek mid.
2025-06-02 23:46:00 | K1llMePlz | 192.168.0.2 | Sorry, my bad.
2025-06-03 00:05:00 | NoScopeNancy | 192.168.0.8 | Use utility.
2025-06-03 00:23:00 | ToxicTommy | 192.168.0.5 | Well played.
2025-06-03 00:28:00 | NoScopeNancy | 192.168.0.8 | Plant the bomb!
2025-06-03 00:35:00 | GGnore | 192.168.0.9 | Let's go A.
2025-06-03 00:51:00 | NoScopeNancy | 192.168.0.8 | Sorry, my bad.
2025-06-03 01:06:00 | ToxicTommy | 192.168.0.5 | Don't peek mid.
2025-06-03 01:14:00 | NoScopeNancy | 192.168.0.8 | This team is actually good.
2025-06-03 01:34:00 | GGnore | 192.168.0.9 | Plant the bomb!
2025-06-03 01:44:00 | NoScopeNancy | 192.168.0.8 | I need backup.
2025-06-03 01:54:00 | NovaCat | 192.168.0.4 | Sorry, my bad.
2025-06-03 02:14:00 | GGnore | 192.168.0.9 | Plant the bomb!
2025-06-03 02:20:00 | NoScopeNancy | 192.168.0.8 | Use utility.
2025-06-03 02:37:00 | K1llMePlz | 192.168.0.2 | Anyone has drop?
2025-06-03 14:49:00 | ToxicTommy | 192.168.0.5 | This game is bullshit.
2025-06-03 15:01:00 | NoScopeNancy | 192.168.0.8 | Rotate fast.
2025-06-03 15:09:00 | NovaCat | 192.168.0.4 | I'm lagging.
2025-06-03 15:19:00 | K1llMePlz | 192.168.0.2 | Rotate fast.
2025-06-03 15:37:00 | NoScopeNancy | 192.168.0.8 | Anyone has drop?
2025-06-03 15:56:00 | NovaCat | 192.168.0.4 | Don't peek mid.
2025-06-03 16:14:00 | GGnore | 192.168.0.9 | Fuck me, dude.
2025-06-03 16:26:00 | NoScopeNancy | 192.168.0.8 | Let's go A.
2025-06-03 16:41:00 | K1llMePlz | 192.168.0.2 | Don't peek mid.
2025-06-03 16:50:00 | ToxicTommy | 192.168.0.5 | Fucking campers.
2025-06-03 16:58:00 | ToxicTommy | 192.168.0.5 | What the fuck are you doing?!
2025-06-03 17:11:00 | GGnore | 192.168.0.9 | Fucking campers.
2025-06-03 17:17:00 | GGnore | 192.168.0.9 | Fucking campers.
2025-06-03 17:32:00 | ToxicTommy | 192.168.0.5 | This team is actually good.
2025-06-03 17:39:00 | NoScopeNancy | 192.168.0.8 | Rotate fast.
2025-06-03 17:56:00 | K1llMePlz | 192.168.0.2 | Nice clutch!
2025-06-03 18:12:00 | ToxicTommy | 192.168.0.5 | Rotate fast.
2025-06-04 06:24:00 | NovaCat | 192.168.0.4 | I'm lagging.
2025-06-04 06:44:00 | NovaCat | 192.168.0.4 | Sorry, my bad.
2025-06-04 06:59:00 | GGnore | 192.168.0.9 | What the fuck are you doing?!
2025-06-04 07:13:00 | K1llMePlz | 192.168.0.2 | This team is actually good.
2025-06-04 07:26:00 | NovaCat | 192.168.0.4 | Nice clutch!
2025-06-04 07:38:00 | K1llMePlz | 192.168.0.2 | I'm lagging.
ChatID: 9
2025-06-01 12:00:00 | NoScopeNancy | 192.168.0.8 | What the fuck are you doing?!
2025-06-01 12:16:00 | NoScopeNancy | 192.168.0.8 | Damn, missed again.
2025-06-01 12:23:00 | AimGod | 192.168.0.7 | Damn it, guys!
2025-06-01 12:40:00 | GGnore | 192.168.0.9 | Don't peek mid.
2025-06-01 12:58:00 | NoScopeNancy | 192.168.0.8 | This game is bullshit.
2025-06-01 13:15:00 | GGnore | 192.168.0.9 | Save weapons.
2025-06-01 13:21:00 | NoScopeNancy | 192.168.0.8 | Well played.
2025-06-02 01:38:00 | GGnore | 192.168.0.9 | Don't peek mid.
2025-06-02 01:47:00 | GGnore | 192.168.0.9 | Let's go A.
2025-06-02 02:03:00 | Softie | 192.168.0.6 | Save weapons.
2025-06-02 02:08:00 | ClutchMaster | 192.168.1.1 | This game is bullshit.
2025-06-02 02:14:00 | GGnore | 192.168.0.9 | This team is actually good.
2025-06-02 02:26:00 | ClutchMaster | 192.168.1.1 | What the fuck are you doing?!
2025-06-02 02:32:00 | AimGod | 192.168.0.7 | This game is bullshit.
2025-06-02 02:40:00 | GGnore | 192.168.0.9 | Sorry, my bad.
2025-06-02 02:52:00 | AimGod | 192.168.0.7 | What the fuck are you doing?!
2025-06-02 03:06:00 | AimGod | 192.168.0.7 | Don't peek mid.
2025-06-02 03:23:00 | ClutchMaster | 192.168.1.1 | Fuck me, dude.
2025-06-02 03:31:00 | NoScopeNancy | 192.168.0.8 | Save weapons.
2025-06-02 03:50:00 | GGnore | 192.168.0.9 | GG guys!
2025-06-02 04:05:00 | ClutchMaster | 192.168.1.1 | I'm so fucking done.
2025-06-02 04:19:00 | NoScopeNancy | 192.168.0.8 | I'm lagging.
2025-06-02 04:33:00 | NoScopeNancy | 192.168.0.8 | I need backup.
2025-06-02 04:41:00 | ClutchMaster | 192.168.1.1 | Holy shit that was intense.
2025-06-02 04:47:00 | NoScopeNancy | 192.168.0.8 | Sorry, my bad.
2025-06-02 04:52:00 | NoScopeNancy | 192.168.0.8 | I need backup.
2025-06-02 05:03:00 | AimGod | 192.168.0.7 | GG guys!
2025-06-02 05:23:00 | ClutchMaster | 192.168.1.1 | Sorry, my bad.
2025-06-02 05:37:00 | AimGod | 192.168.0.7 | Who has bomb?
2025-06-02 05:44:00 | GGnore | 192.168.0.9 | Anyone has drop?
2025-06-02 05:52:00 | AimGod | 192.168.0.7 | Let's go A.
2025-06-02 06:04:00 | AimGod | 192.168.0.7 | Sorry, my bad.
2025-06-02 06:12:00 | GGnore | 192.168.0.9 | Anyone has drop?
2025-06-02 06:18:00 | NoScopeNancy | 192.168.0.8 | Rotate fast.
2025-06-02 06:31:00 | AimGod | 192.168.0.7 | Don't peek mid.
2025-06-02 06:40:00 | GGnore | 192.168.0.9 | Use utility.
2025-06-02 06:56:00 | NoScopeNancy | 192.168.0.8 | Anyone has drop?
2025-06-02 07:07:00 | ClutchMaster | 192.168.1.1 | Who has bomb?
2025-06-02 07:24:00 | ClutchMaster | 192.168.1.1 | Let's go A.
2025-06-02 19:38:00 | NoScopeNancy | 192.168.0.8 | Don't peek mid.
2025-06-02 19:45:00 | ClutchMaster | 192.168.1.1 | Shit team.
2025-06-02 19:53:00 | NoScopeNancy | 192.168.0.8 | Save weapons.
2025-06-02 20:11:00 | AimGod | 192.168.0.7 | I'm lagging.
2025-06-02 20:31:00 | NoScopeNancy | 192.168.0.8 | Save weapons.
2025-06-02 20:45:00 | GGnore | 192.168.0.9 | GG guys!
2025-06-02 20:51:00 | AimGod | 192.168.0.7 | Well played.
2025-06-02 21:08:00 | ClutchMaster | 192.168.1.1 | Shit, that was close.
2025-06-02 21:23:00 | NoScopeNancy | 192.168.0.8 | This team is actually good.
2025-06-02 21:41:00 | GGnore | 192.168.0.9 | I'm lagging.
2025-06-02 21:57:00 | GGnore | 192.168.0.9 | I'm lagging.
2025-06-02 22:16:00 | AimGod | 192.168.0.7 | I need backup.
2025-06-02 22:21:00 | AimGod | 192.168.0.7 | Nice clutch!
2025-06-02 22:28:00 | ClutchMaster | 192.168.1.1 | Shit, that was close.
2025-06-02 22:33:00 | NoScopeNancy | 192.168.0.8 | Sorry, my bad.
2025-06-02 22:53:00 | ClutchMaster | 192.168.1.1 | Use utility.
2025-06-02 23:02:00 | GGnore | 192.168.0.9 | Rotate fast.
2025-06-02 23:11:00 | ClutchMaster | 192.168.1.1 | Let's go A.
2025-06-02 23:20:00 | NoScopeNancy | 192.168.0.8 | Well played.
2025-06-02 23:26:00 | AimGod | 192.168.0.7 | Plant the bomb!
2025-06-02 23:41:00 | Softie | 192.168.0.6 | Holy shit that was intense.
2025-06-03 00:01:00 | AimGod | 192.168.0.7 | I need backup.
2025-06-03 00:08:00 | AimGod | 192.168.0.7 | Well played.
2025-06-03 00:16:00 | AimGod | 192.168.0.7 | Well played.
2025-06-03 00:22:00 | AimGod | 192.168.0.7 | Use utility.
2025-06-03 00:33:00 | ClutchMaster | 192.168.1.1 | Anyone has drop?
2025-06-03 00:49:00 | ClutchMaster | 192.168.1.1 | Who has bomb?
2025-06-03 00:57:00 | NoScopeNancy | 192.168.0.8 | Nice clutch!
2025-06-03 01:13:00 | GGnore | 192.168.0.9 | Save weapons.
2025-06-03 01:23:00 | ClutchMaster | 192.168.1.1 | GG guys!
2025-06-03 13:39:00 | GGnore | 192.168.0.9 | Fucking campers.
2025-06-03 13:47:00 | NoScopeNancy | 192.168.0.8 | I'm lagging.
2025-06-03 13:55:00 | NoScopeNancy | 192.168.0.8 | Well played.
2025-06-03 14:10:00 | NoScopeNancy | 192.168.0.8 | Plant the bomb!
2025-06-03 14:15:00 | Softie | 192.168.0.6 | I'm so fucking done.
2025-06-03 14:31:00 | Softie | 192.168.0.6 | Fuck me, dude.
2025-06-03 14:50:00 | ClutchMaster | 192.168.1.1 | Who has bomb?
2025-06-03 15:04:00 | Softie | 192.168.0.6 | Nice clutch!
2025-06-03 15:17:00 | AimGod | 192.168.0.7 | Don't peek mid.
2025-06-03 15:22:00 | GGnore | 192.168.0.9 | Fuck me, dude.
2025-06-03 15:28:00 | Softie | 192.168.0.6 | Who has bomb?
2025-06-03 15:39:00 | GGnore | 192.168.0.9 | Shit team.
2025-06-03 15:45:00 | NoScopeNancy | 192.168.0.8 | Save weapons.
2025-06-03 15:54:00 | AimGod | 192.168.0.7 | Well played.
2025-06-03 16:00:00 | NoScopeNancy | 192.168.0.8 | I'm lagging.
2025-06-03 16:13:00 | Softie | 192.168.0.6 | Let's go A.
2025-06-03 16:27:00 | AimGod | 192.168.0.7 | Sorry, my bad.
2025-06-03 16:42:00 | AimGod | 192.168.0.7 | Sorry, my bad.
2025-06-03 16:49:00 | NoScopeNancy | 192.168.0.8 | This team is actually good.
2025-06-03 17:09:00 | Softie | 192.168.0.6 | Plant the bomb!
2025-06-03 17:29:00 | NoScopeNancy | 192.168.0.8 | Anyone has drop?
2025-06-03 17:42:00 | NoScopeNancy | 192.168.0.8 | I'm lagging.
2025-06-03 17:48:00 | ClutchMaster | 192.168.1.1 | Let's go A.
2025-06-03 18:04:00 | NoScopeNancy | 192.168.0.8 | Use utility.
2025-06-03 18:22:00 | NoScopeNancy | 192.168.0.8 | Don't peek mid.
2025-06-03 18:33:00 | GGnore | 192.168.0.9 | Rotate fast.
2025-06-03 18:48:00 | NoScopeNancy | 192.168.0.8 | Who has bomb?
2025-06-03 19:04:00 | Softie | 192.168.0.6 | Plant the bomb!
2025-06-03 19:13:00 | Softie | 192.168.0.6 | Sorry, my bad.
2025-06-03 19:22:00 | GGnore | 192.168.0.9 | I need backup.
2025-06-03 19:37:00 | NoScopeNancy | 192.168.0.8 | Nice clutch!
ChatID: 10
2025-06-01 12:00:00 | ToxicTommy | 192.168.0.5 | Nice clutch!
2025-06-01 12:06:00 | Z3R0 | 192.168.0.3 | Damn, missed again.
2025-06-01 12:16:00 | Z3R0 | 192.168.0.3 | Fucking campers.
2025-06-01 12:22:00 | Z3R0 | 192.168.0.3 | Damn, missed again.
2025-06-01 12:33:00 | ToxicTommy | 192.168.0.5 | GG guys!
2025-06-01 12:38:00 | ToxicTommy | 192.168.0.5 | I need backup.
2025-06-01 12:51:00 | Z3R0 | 192.168.0.3 | Sorry, my bad.
2025-06-01 13:06:00 | AimGod | 192.168.0.7 | Shit, that was close.
2025-06-01 13:16:00 | Z3R0 | 192.168.0.3 | Plant the bomb!
2025-06-01 13:23:00 | Z3R0 | 192.168.0.3 | Well played.
2025-06-01 13:30:00 | ToxicTommy | 192.168.0.5 | Let's go A.
2025-06-01 13:38:00 | GGnore | 192.168.0.9 | Anyone has drop?
2025-06-01 13:58:00 | Z3R0 | 192.168.0.3 | Use utility.
2025-06-01 14:08:00 | Z3R0 | 192.168.0.3 | GG guys!
2025-06-01 14:25:00 | AimGod | 192.168.0.7 | Damn, missed again.
2025-06-01 14:34:00 | Z3R0 | 192.168.0.3 | Don't peek mid.
2025-06-01 14:39:00 | ClutchMaster | 192.168.1.1 | Nice clutch!
2025-06-01 14:51:00 | ToxicTommy | 192.168.0.5 | I'm lagging.
2025-06-01 15:05:00 | GGnore | 192.168.0.9 | I'm lagging.
2025-06-01 15:13:00 | ClutchMaster | 192.168.1.1 | Nice clutch!
2025-06-01 15:24:00 | ToxicTommy | 192.168.0.5 | This team is actually good.
2025-06-01 15:30:00 | GGnore | 192.168.0.9 | Who has bomb?
2025-06-01 15:40:00 | ToxicTommy | 192.168.0.5 | Let's go A.
2025-06-01 15:59:00 | Z3R0 | 192.168.0.3 | Use utility.
2025-06-01 16:11:00 | AimGod | 192.168.0.7 | Holy shit that was intense.
2025-06-01 16:18:00 | AimGod | 192.168.0.7 | I need backup.
2025-06-01 16:23:00 | Z3R0 | 192.168.0.3 | Who has bomb?
2025-06-02 04:33:00 | ClutchMaster | 192.168.1.1 | Plant the bomb!
2025-06-02 04:39:00 | ClutchMaster | 192.168.1.1 | Plant the bomb!
2025-06-02 04:51:00 | Z3R0 | 192.168.0.3 | GG guys!
2025-06-02 04:59:00 | AimGod | 192.168.0.7 | I need backup.
2025-06-02 05:12:00 | ToxicTommy | 192.168.0.5 | Well played.
2025-06-02 05:18:00 | Z3R0 | 192.168.0.3 | I need backup.
2025-06-02 05:23:00 | ClutchMaster | 192.168.1.1 | This team is actually good.
2025-06-02 05:38:00 | GGnore | 192.168.0.9 | I'm lagging.
2025-06-02 05:47:00 | ClutchMaster | 192.168.1.1 | Well played.
2025-06-02 06:07:00 | GGnore | 192.168.0.9 | Save weapons.
2025-06-02 06:16:00 | Z3R0 | 192.168.0.3 | GG guys!
2025-06-02 06:30:00 | AimGod | 192.168.0.7 | Anyone has drop?
2025-06-02 06:40:00 | ClutchMaster | 192.168.1.1 | Let's go A.
2025-06-02 06:52:00 | ToxicTommy | 192.168.0.5 | This team is actually good.
2025-06-02 06:58:00 | ToxicTommy | 192.168.0.5 | Plant the bomb!
2025-06-02 07:18:00 | ClutchMaster | 192.168.1.1 | Nice clutch!
2025-06-02 07:36:00 | ToxicTommy | 192.168.0.5 | Use utility.
2025-06-02 07:46:00 | ClutchMaster | 192.168.1.1 | This team is actually good.
2025-06-02 07:54:00 | GGnore | 192.168.0.9 | Plant the bomb!
2025-06-02 08:08:00 | GGnore | 192.168.0.9 | Rotate fast.
2025-06-02 08:27:00 | GGnore | 192.168.0.9 | I'm lagging.
2025-06-02 08:42:00 | AimGod | 192.168.0.7 | Use utility.
2025-06-02 09:02:00 | ClutchMaster | 192.168.1.1 | Nice clutch!
2025-06-02 09:21:00 | AimGod | 192.168.0.7 | I'm lagging.
2025-06-02 09:33:00 | Z3R0 | 192.168.0.3 | Sorry, my bad.
2025-06-02 09:42:00 | Z3R0 | 192.168.0.3 | I'm lagging.
2025-06-02 09:49:00 | GGnore | 192.168.0.9 | Use utility.
2025-06-02 10:09:00 | Z3R0 | 192.168.0.3 | Nice clutch!
2025-06-02 10:18:00 | ClutchMaster | 192.168.1.1 | I'm lagging.
2025-06-02 10:38:00 | GGnore | 192.168.0.9 | Sorry, my bad.
2025-06-02 10:51:00 | GGnore | 192.168.0.9 | I'm lagging.
2025-06-02 11:05:00 | Z3R0 | 192.168.0.3 | Anyone has drop?
2025-06-02 11:10:00 | ToxicTommy | 192.168.0.5 | Well played.
2025-06-02 11:28:00 | AimGod | 192.168.0.7 | Sorry, my bad.
2025-06-02 11:40:00 | AimGod | 192.168.0.7 | Anyone has drop?
2025-06-02 11:51:00 | ToxicTommy | 192.168.0.5 | Save weapons.
2025-06-02 12:02:00 | Z3R0 | 192.168.0.3 | Save weapons.
2025-06-02 12:15:00 | ToxicTommy | 192.168.0.5 | Let's go A.
2025-06-02 12:25:00 | ToxicTommy | 192.168.0.5 | Nice clutch!
2025-06-02 12:30:00 | GGnore | 192.168.0.9 | Sorry, my bad.
2025-06-02 12:39:00 | ClutchMaster | 192.168.1.1 | Let's go A.
2025-06-02 12:55:00 | Z3R0 | 192.168.0.3 | I need backup.
2025-06-02 13:12:00 | ClutchMaster | 192.168.1.1 | Who has bomb?
2025-06-02 13:31:00 | GGnore | 192.168.0.9 | Nice clutch!
2025-06-02 13:40:00 | GGnore | 192.168.0.9 | Sorry, my bad.
2025-06-02 13:47:00 | ClutchMaster | 192.168.1.1 | Rotate fast.
2025-06-02 14:04:00 | AimGod | 192.168.0.7 | Don't peek mid.
2025-06-02 14:21:00 | ToxicTommy | 192.168.0.5 | I'm lagging.
2025-06-02 14:39:00 | ToxicTommy | 192.168.0.5 | GG guys!
2025-06-02 14:46:00 | Z3R0 | 192.168.0.3 | Let's go A.
2025-06-02 15:03:00 | ClutchMaster | 192.168.1.1 | Plant the bomb!
2025-06-02 15:23:00 | GGnore | 192.168.0.9 | Plant the bomb!
2025-06-02 15:40:00 | GGnore | 192.168.0.9 | Don't peek mid.
2025-06-02 15:55:00 | Z3R0 | 192.168.0.3 | I need backup.
2025-06-02 16:09:00 | ToxicTommy | 192.168.0.5 | This team is actually good.
2025-06-02 16:28:00 | GGnore | 192.168.0.9 | Let's go A.
2025-06-02 16:39:00 | GGnore | 192.168.0.9 | Rotate fast.
2025-06-02 16:52:00 | GGnore | 192.168.0.9 | Well played.
2025-06-02 16:57:00 | GGnore | 192.168.0.9 | Anyone has drop?
2025-06-02 17:15:00 | Z3R0 | 192.168.0.3 | Nice clutch!
2025-06-02 17:20:00 | GGnore | 192.168.0.9 | I need backup.
2025-06-02 17:29:00 | ToxicTommy | 192.168.0.5 | Use utility.
2025-06-02 17:37:00 | ToxicTommy | 192.168.0.5 | GG guys!
2025-06-02 17:54:00 | AimGod | 192.168.0.7 | Who has bomb?
2025-06-02 18:03:00 | AimGod | 192.168.0.7 | Don't peek mid.
2025-06-02 18:11:00 | GGnore | 192.168.0.9 | This team is actually good.
2025-06-02 18:22:00 | AimGod | 192.168.0.7 | Nice clutch!
2025-06-02 18:40:00 | ClutchMaster | 192.168.1.1 | Fucking campers.
2025-06-02 19:00:00 | GGnore | 192.168.0.9 | Anyone has drop?
2025-06-02 19:09:00 | ToxicTommy | 192.168.0.5 | Use utility.
2025-06-02 19:20:00 | AimGod | 192.168.0.7 | Plant the bomb!
2025-06-02 19:28:00 | ToxicTommy | 192.168.0.5 | This team is actually good.
2025-06-02 19:47:00 | Z3R0 | 192.168.0.3 | Let's go A.
